p,e,len,size
0.29,5,10.1996,151.7627
0.29,6,10.1694,151.5258
0.29,7,10.1378,150.8648
0.29,8,10.1536,150.3611
0.29,9,10.254,151.6441
0.29,10,10.2692,151.7439
0.29,11,10.2959,151.0478
0.29,12,10.4516,151.0174
0.29,13,10.6232,150.8039
0.29,14,10.9269,150.7885
0.29,15,11.7608,151.0878
0.29,16,8.808,75.7751
0.3,0,9.9744,155.6694
0.3,1,9.9812,155.6644
0.3,2,9.9546,155.275
0.3,3,9.9907,155.6114
0.3,4,9.9618,154.8616
0.3,5,9.9993,156.3989
0.3,6,10.0205,156.0133
0.3,7,9.9578,154.1433
0.3,8,10.0291,156.2376
0.3,9,9.9826,154.8556
0.3,10,10.0645,155.452
0.3,11,10.1427,156.1975
0.3,12,10.2356,155.5808
0.3,13,10.4415,155.6602
0.3,14,10.6721,153.9475
0.3,15,11.5423,155.2828
0.3,16,8.7038,77.7986
0.31,0,9.7539,159.3952
0.31,1,9.7923,159.6492
0.31,2,9.7843,159.3472
0.31,3,9.8292,160.1472
0.31,4,9.7547,159.3453
0.31,5,9.8808,161.2684
0.31,6,9.7787,158.7556
0.31,7,9.8081,159.0286
0.31,8,9.7964,159.2356
0.31,9,9.9136,160.1435
0.31,10,9.8841,159.5578
0.31,11,9.9694,159.1977
0.31,12,9.9601,158.3486
0.31,13,10.2711,159.833
0.31,14,10.5345,160.2255
0.31,15,11.3231,158.7839
0.31,16,8.5932,80.2259
0.32,0,9.6316,163.9424
0.32,1,9.5799,162.7266
0.32,2,9.6303,163.0175
0.32,3,9.5859,162.634
0.32,4,9.6045,163.6092
0.32,5,9.7218,164.5738
0.32,6,9.6052,162.4618
0.32,7,9.5992,162.8674
0.32,8,9.6759,163.0142
0.32,9,9.6466,162.7811
0.32,10,9.7571,163.8015
0.32,11,9.8564,164.582
0.32,12,9.8308,162.9675
0.32,13,9.964,162.5732
0.32,14,10.363,163.38
0.32,15,11.0825,162.3871
0.32,16,8.448,82.4234
0.33,0,9.4778,166.841
0.33,1,9.449,165.6116
0.33,2,9.4113,166.337
0.33,3,9.4746,166.6207
0.33,4,9.5008,167.7716
0.33,5,9.5013,166.5226
0.33,6,9.4868,166.3546
0.33,7,9.466,166.222
0.33,8,9.5236,166.6997
0.33,9,9.5004,166.1894
0.33,10,9.514,166.1047
0.33,11,9.5502,165.7549
0.33,12,9.7588,166.6291
0.33,13,9.8196,165.7769
0.33,14,10.167,166.4966
0.33,15,10.8511,165.3607
0.33,16,8.3164,83.5889
0.34,0,9.2443,168.7757
0.34,1,9.2632,168.9443
0.34,2,9.2547,168.4026
0.34,3,9.2738,169.7411
0.34,4,9.3235,169.8596
0.34,5,9.3181,169.7716
0.34,6,9.3226,170.1569
0.34,7,9.3598,169.8401
0.34,8,9.3524,169.3214
0.34,9,9.3709,169.7831
0.34,10,9.3893,169.2098
0.34,11,9.4075,169.4171
0.34,12,9.5372,169.0359
0.34,13,9.6784,170.0699
0.34,14,9.9792,168.7444
0.34,15,10.7002,169.2168
0.34,16,8.1512,84.6993
0.35,0,9.1266,171.415
0.35,1,9.1419,171.8697
0.35,2,9.105,171.5007
0.35,3,9.1506,171.8096
0.35,4,9.1651,172.9501
0.35,5,9.1298,172.1878
0.35,6,9.1883,172.6515
0.35,7,9.1719,172.2597
0.35,8,9.2138,172.493
0.35,9,9.1864,171.8156
0.35,10,9.2087,171.7907
0.35,11,9.3035,171.8603
0.35,12,9.3569,171.6945
0.35,13,9.5323,171.905
0.35,14,9.8175,172.3016
0.35,15,10.4789,171.1231
0.35,16,8.0013,85.9621
0.36,0,8.9395,173.7452
0.36,1,8.9717,174.521
0.36,2,8.9864,174.53
0.36,3,8.9731,173.789
0.36,4,8.9573,173.7761
0.36,5,9.0215,174.8569
0.36,6,8.9811,174.2448
0.36,7,9.0243,174.551
0.36,8,8.9922,174.1033
0.36,9,9.0734,174.9414
0.36,10,9.0557,173.775
0.36,11,9.1282,174.3946
0.36,12,9.2018,174.3434
0.36,13,9.4077,174.4636
0.36,14,9.7005,175.0335
0.36,15,10.3791,174.8996
0.36,16,7.8867,87.4234
0.37,0,8.8333,177.1578
0.37,1,8.7561,175.694
0.37,2,8.8366,177.1508
0.37,3,8.8039,176.8271
0.37,4,8.8169,175.7451
0.37,5,8.8681,176.5563
0.37,6,8.8512,176.2473
0.37,7,8.8755,176.3039
0.37,8,8.9055,177.4583
0.37,9,8.948,176.8914
0.37,10,8.9143,176.9254
0.37,11,8.9593,176.4595
0.37,12,9.026,176.3959
0.37,13,9.2046,176.3966
0.37,14,9.46,175.6242
0.37,15,10.1638,176.7586
0.37,16,7.7851,88.2252
0.38,0,8.7279,178.6041
0.38,1,8.7132,179.2939
0.38,2,8.7052,178.5199
0.38,3,8.7565,179.6777
0.38,4,8.732,178.9565
0.38,5,8.7172,178.6823
0.38,6,8.7434,179.147
0.38,7,8.7044,177.7569
0.38,8,8.7409,178.3162
0.38,9,8.7724,178.808
0.38,10,8.7968,179.0835
0.38,11,8.8636,179.035
0.38,12,8.9372,178.8985
0.38,13,9.0997,178.6131
0.38,14,9.3587,179.4709
0.38,15,9.9363,178.0252
0.38,16,7.6648,89.564
0.39,0,8.5359,180.282
0.39,1,8.516,179.8202
0.39,2,8.5348,179.8146
0.39,3,8.5312,179.2851
0.39,4,8.62,181.6558
0.39,5,8.5624,180.249
0.39,6,8.5888,180.7097
0.39,7,8.6027,180.8637
0.39,8,8.5831,180.2304
0.39,9,8.5971,179.5214
0.39,10,8.6666,181.0045
0.39,11,8.7012,180.5182
0.39,12,8.7317,179.3236
0.39,13,8.9521,180.8198
0.39,14,9.2033,181.0531
0.39,15,9.866,180.9102
0.39,16,7.5818,90.5449
0.4,0,8.4266,182.1715
0.4,1,8.4313,181.538
0.4,2,8.4496,182.4242
0.4,3,8.4368,182.0274
0.4,4,8.47,182.6659
0.4,5,8.4189,181.8778
0.4,6,8.4385,182.093
0.4,7,8.4647,182.2167
0.4,8,8.4668,182.1335
0.4,9,8.4847,181.799
0.4,10,8.5581,182.9015
0.4,11,8.5825,182.191
0.4,12,8.6193,181.5352
0.4,13,8.7749,182.2102
0.4,14,9.0786,182.2454
0.4,15,9.6299,181.5426
0.4,16,7.4715,91.2632
0.41,0,8.2927,183.6675
0.41,1,8.31,183.983
0.41,2,8.2502,183.2049
0.41,3,8.2887,183.2807
0.41,4,8.2838,183.0006
0.41,5,8.3284,183.3557
0.41,6,8.3175,183.8021
0.41,7,8.3204,183.7023
0.41,8,8.3193,183.1667
0.41,9,8.3544,183.3211
0.41,10,8.3989,183.974
0.41,11,8.4498,183.6749
0.41,12,8.5028,183.6038
0.41,13,8.6825,184.1
0.41,14,8.9471,184.4176
0.41,15,9.558,183.9774
0.41,16,7.3389,91.7193
0.42,0,8.1746,184.5027
0.42,1,8.2139,185.3357
0.42,2,8.1982,184.8735
0.42,3,8.2055,185.361
0.42,4,8.2024,185.4196
0.42,5,8.2063,184.4872
0.42,6,8.1937,184.8737
0.42,7,8.197,184.6353
0.42,8,8.2004,184.1338
0.42,9,8.2425,185.3709
0.42,10,8.2624,184.9363
0.42,11,8.3199,184.9966
0.42,12,8.4436,185.4505
0.42,13,8.5823,185.5554
0.42,14,8.7898,184.7967
0.42,15,9.4328,185.3651
0.42,16,7.2672,92.5867
0.43,0,8.0688,186.041
0.43,1,8.0519,185.6569
0.43,2,8.0568,185.8049
0.43,3,8.0657,186.1681
0.43,4,8.0808,186.0381
0.43,5,8.0817,186.5722
0.43,6,8.0602,185.894
0.43,7,8.1038,186.2469
0.43,8,8.1192,186.1639
0.43,9,8.0641,185.4596
0.43,10,8.1423,186.1859
0.43,11,8.1608,185.9999
0.43,12,8.2685,186.2734
0.43,13,8.4117,185.7154
0.43,14,8.6956,186.4555
0.43,15,9.2694,186.3232
0.43,16,7.1525,93.0441
0.44,0,7.9425,187.4815
0.44,1,7.9563,187.5394
0.44,2,7.948,186.9763
0.44,3,7.9727,187.5538
0.44,4,7.9642,187.342
0.44,5,7.9517,187.5931
0.44,6,7.999,187.9143
0.44,7,7.9742,186.9489
0.44,8,7.9941,187.2052
0.44,9,8.0042,187.2865
0.44,10,8.0406,187.5354
0.44,11,8.1112,187.718
0.44,12,8.1866,187.8274
0.44,13,8.3049,187.4129
0.44,14,8.5586,187.6853
0.44,15,9.1469,187.406
0.44,16,7.0615,93.9345
0.45,0,7.843,187.9669
0.45,1,7.8686,188.5825
0.45,2,7.8677,188.9654
0.45,3,7.8283,188.138
0.45,4,7.8624,188.7275
0.45,5,7.8418,188.4
0.45,6,7.8485,188.5193
0.45,7,7.8765,188.4863
0.45,8,7.8899,188.5357
0.45,9,7.8916,188.4957
0.45,10,7.9297,189.0043
0.45,11,7.9915,188.6377
0.45,12,8.0624,188.5432
0.45,13,8.1668,187.7515
0.45,14,8.4529,188.8096
0.45,15,8.9932,188.5508
0.45,16,6.9406,94.2476
0.46,0,7.756,189.4362
0.46,1,7.7638,189.6085
0.46,2,7.7478,189.6986
0.46,3,7.7534,190.0181
0.46,4,7.784,189.955
0.46,5,7.7529,189.8216
0.46,6,7.7523,189.1557
0.46,7,7.7694,189.5223
0.46,8,7.7906,189.5072
0.46,9,7.8162,189.8321
0.46,10,7.819,189.4799
0.46,11,7.8585,189.3676
0.46,12,7.9567,188.8556
0.46,13,8.0932,189.2353
0.46,14,8.3367,189.2647
0.46,15,8.8789,189.7782
0.46,16,6.8749,95.0703
0.47,0,7.6703,191.0146
0.47,1,7.6303,189.8793
0.47,2,7.6451,190.7137
0.47,3,7.6508,190.2687
0.47,4,7.6541,190.3218
0.47,5,7.6629,190.3144
0.47,6,7.6647,189.7944
0.47,7,7.6148,189.979
0.47,8,7.714,190.6193
0.47,9,7.7032,190.2642
0.47,10,7.7295,190.5053
0.47,11,7.8097,190.6609
0.47,12,7.8385,190.1094
0.47,13,7.9812,189.5851
0.47,14,8.2471,190.2613
0.47,15,8.7802,190.9554
0.47,16,6.8041,95.3301
0.48,0,7.5575,191.5349
0.48,1,7.5719,191.0408
0.48,2,7.5609,190.9617
0.48,3,7.5658,191.5956
0.48,4,7.5546,191.0793
0.48,5,7.569,191.3151
0.48,6,7.5511,190.8938
0.48,7,7.5827,190.4808
0.48,8,7.6017,191.2668
0.48,9,7.6093,191.2406
0.48,10,7.6182,190.943
0.48,11,7.6949,191.2308
0.48,12,7.7264,190.6203
0.48,13,7.9053,191.488
0.48,14,8.1791,191.4955
0.48,15,8.6858,190.9838
0.48,16,6.7279,95.9013
0.49,0,7.4601,191.9662
0.49,1,7.454,191.8883
0.49,2,7.4874,191.8527
0.49,3,7.4771,191.6968
0.49,4,7.4512,191.7639
0.49,5,7.4943,191.9844
0.49,6,7.4931,192.524
0.49,7,7.4735,191.5395
0.49,8,7.4996,192.1176
0.49,9,7.4893,191.6121
0.49,10,7.5531,191.9872
0.49,11,7.5762,191.704
0.49,12,7.6432,191.5406
0.49,13,7.8042,191.6854
0.49,14,8.0639,192.0505
0.49,15,8.6199,192.433
0.49,16,6.6323,95.9209
0.5,0,7.3702,192.2767
0.5,1,7.3836,192.3307
0.5,2,7.3715,192.7744
0.5,3,7.3838,192.6596
0.5,4,7.3744,192.6142
0.5,5,7.3568,191.901
0.5,6,7.3879,192.1149
0.5,7,7.3829,192.117
0.5,8,7.4057,192.7069
0.5,9,7.4085,192.0469
0.5,10,7.444,192.4169
0.5,11,7.503,192.8952
0.5,12,7.567,192.1687
0.5,13,7.7307,192.6181
0.5,14,7.9557,192.5401
0.5,15,8.4833,192.3773
0.5,16,6.5834,96.5186
0.51,0,7.2819,193.1251
0.51,1,7.2625,193.0373
0.51,2,7.2701,193.0262
0.51,3,7.2692,192.5475
0.51,4,7.2534,192.6519
0.51,5,7.3004,193.4297
0.51,6,7.2956,192.8022
0.51,7,7.3113,192.8331
0.51,8,7.3361,193.2344
0.51,9,7.3451,193.3625
0.51,10,7.3715,192.8921
0.51,11,7.4008,193.1547
0.51,12,7.4824,193.4663
0.51,13,7.633,193.4366
0.51,14,7.8551,193.4328
0.51,15,8.3964,193.0887
0.51,16,6.4775,96.47
0.52,0,7.2115,193.663
0.52,1,7.217,193.792
0.52,2,7.2144,193.8542
0.52,3,7.1719,192.9377
0.52,4,7.2026,193.3454
0.52,5,7.2485,194.0908
0.52,6,7.2253,193.8091
0.52,7,7.2365,193.3997
